Time	Voltage	Current	Temp.

1.000000e-002	-8.713785e-005	-1.197867e-001	2.967334e+002
2.000000e-002	-1.770476e-004	-1.186197e-001	2.970328e+002
3.000000e-002	-2.698547e-004	-1.176303e-001	2.973264e+002
4.000000e-002	-3.656384e-004	-1.167080e-001	2.976154e+002
5.000000e-002	-4.644731e-004	-1.158315e-001	2.979004e+002
6.000000e-002	-5.664321e-004	-1.149897e-001	2.981820e+002
7.000000e-002	-6.715896e-004	-1.141757e-001	2.984606e+002
8.000000e-002	-7.800208e-004	-1.133852e-001	2.987365e+002
9.000000e-002	-8.918032e-004	-1.126151e-001	2.990100e+002
1.000000e-001	-1.007017e-003	-1.118636e-001	2.992812e+002
1.100000e-001	-1.125743e-003	-1.111295e-001	2.995504e+002
1.200000e-001	-1.248069e-003	-1.104116e-001	2.998177e+002
1.300000e-001	-1.374080e-003	-1.097089e-001	3.000831e+002
1.400000e-001	-1.503868e-003	-1.090211e-001	3.003469e+002
1.500000e-001	-1.637527e-003	-1.083478e-001	3.006091e+002
1.600000e-001	-1.775154e-003	-1.076888e-001	3.008698e+002
1.700000e-001	-1.916850e-003	-1.070439e-001	3.011291e+002
1.800000e-001	-2.062719e-003	-1.064129e-001	3.013870e+002
1.900000e-001	-2.212870e-003	-1.057956e-001	3.016437e+002
2.000000e-001	-2.367415e-003	-1.051921e-001	3.018992e+002
2.100000e-001	-2.526470e-003	-1.046022e-001	3.021536e+002
2.200000e-001	-2.690156e-003	-1.040259e-001	3.024069e+002
2.300000e-001	-2.858598e-003	-1.034632e-001	3.026592e+002
2.400000e-001	-3.031927e-003	-1.029141e-001	3.029106e+002
2.500000e-001	-3.210279e-003	-1.023784e-001	3.031611e+002
2.600000e-001	-3.393793e-003	-1.018563e-001	3.034108e+002
2.700000e-001	-3.582616e-003	-1.013477e-001	3.036597e+002
2.800000e-001	-3.776901e-003	-1.008526e-001	3.039080e+002
2.900000e-001	-3.976806e-003	-1.003710e-001	3.041556e+002
3.000000e-001	-4.182496e-003	-9.990297e-002	3.044026e+002
3.100000e-001	-4.394144e-003	-9.944850e-002	3.046491e+002
3.200000e-001	-4.611930e-003	-9.900763e-002	3.048951e+002
3.300000e-001	-4.836040e-003	-9.858041e-002	3.051407e+002
3.400000e-001	-5.066671e-003	-9.816691e-002	3.053860e+002
3.500000e-001	-5.304029e-003	-9.776722e-002	3.056309e+002
3.600000e-001	-5.548327e-003	-9.738142e-002	3.058757e+002
3.700000e-001	-5.799791e-003	-9.700965e-002	3.061203e+002
3.800000e-001	-6.058657e-003	-9.665204e-002	3.063648e+002
3.900000e-001	-6.325171e-003	-9.630876e-002	3.066093e+002
4.000000e-001	-6.599594e-003	-9.598002e-002	3.068538e+002
4.100000e-001	-6.882200e-003	-9.566605e-002	3.070985e+002
4.200000e-001	-7.173275e-003	-9.536710e-002	3.073433e+002
4.300000e-001	-7.473125e-003	-9.508347e-002	3.075884e+002
4.400000e-001	-7.782068e-003	-9.481548e-002	3.078338e+002
4.500000e-001	-8.100444e-003	-9.456353e-002	3.080796e+002
4.600000e-001	-8.428616e-003	-9.432951e-002	3.083260e+002
4.700000e-001	-8.766953e-003	-9.410950e-002	3.085729e+002
4.800000e-001	-9.115863e-003	-9.390854e-002	3.088205e+002
4.900000e-001	-9.475773e-003	-9.372575e-002	3.090689e+002
5.000000e-001	-9.847140e-003	-9.356186e-002	3.093182e+002
5.100000e-001	-1.023045e-002	-9.341765e-002	3.095684e+002
5.200000e-001	-1.062622e-002	-9.329439e-002	3.098197e+002
5.300000e-001	-1.103501e-002	-9.319212e-002	3.100722e+002
5.400000e-001	-1.145740e-002	-9.311296e-002	3.103261e+002
5.500000e-001	-1.189405e-002	-9.305780e-002	3.105813e+002
5.600000e-001	-1.234564e-002	-9.302807e-002	3.108382e+002
5.700000e-001	-1.281291e-002	-9.302537e-002	3.110967e+002
5.800000e-001	-1.329667e-002	-9.305147e-002	3.113571e+002
5.900000e-001	-1.379778e-002	-9.310841e-002	3.116196e+002
6.000000e-001	-1.431718e-002	-9.319846e-002	3.118842e+002
6.100000e-001	-1.485591e-002	-9.332420e-002	3.121512e+002
6.200000e-001	-1.541509e-002	-9.348857e-002	3.124207e+002
6.300000e-001	-1.599595e-002	-9.369494e-002	3.126929e+002
6.400000e-001	-1.659983e-002	-9.394713e-002	3.129680e+002
6.500000e-001	-1.722821e-002	-9.424956e-002	3.132463e+002
6.600000e-001	-1.788275e-002	-9.460730e-002	3.135280e+002
6.700000e-001	-1.856526e-002	-9.502624e-002	3.138132e+002
6.800000e-001	-1.927776e-002	-9.551307e-002	3.141022e+002
6.900000e-001	-2.002251e-002	-9.607571e-002	3.143953e+002
7.000000e-001	-2.080204e-002	-9.672363e-002	3.146926e+002
7.100000e-001	-2.161920e-002	-9.746776e-002	3.149945e+002
7.200000e-001	-2.247720e-002	-9.832113e-002	3.153010e+002
7.300000e-001	-2.337968e-002	-9.929913e-002	3.156124e+002
7.400000e-001	-2.433078e-002	-1.004200e-001	3.159288e+002
7.500000e-001	-2.533521e-002	-1.017055e-001	3.162502e+002
7.600000e-001	-2.639836e-002	-1.031809e-001	3.165763e+002
7.700000e-001	-2.752631e-002	-1.048754e-001	3.169067e+002
7.800000e-001	-2.872595e-002	-1.068199e-001	3.172405e+002
7.900000e-001	-3.000480e-002	-1.090396e-001	3.175763e+002
8.000000e-001	-3.137067e-002	-1.115427e-001	3.179113e+002
8.100000e-001	-3.283116e-002	-1.143204e-001	3.182419e+002
8.200000e-001	-3.439347e-002	-1.173739e-001	3.185638e+002
8.300000e-001	-3.606493e-002	-1.207523e-001	3.188727e+002
8.400000e-001	-3.785440e-002	-1.245942e-001	3.191654e+002
8.500000e-001	-3.976982e-002	-1.288562e-001	3.194396e+002
8.600000e-001	-4.182229e-002	-1.337495e-001	3.196946e+002
8.700000e-001	-4.396732e-002	-1.359969e-001	3.199192e+002
8.800000e-001	-4.607930e-002	-1.312319e-001	3.200937e+002
8.900000e-001	-4.815095e-002	-1.268051e-001	3.202267e+002
9.000000e-001	-5.017798e-002	-1.227347e-001	3.203255e+002
9.100000e-001	-5.215810e-002	-1.190046e-001	3.203963e+002
9.200000e-001	-5.409048e-002	-1.155955e-001	3.204440e+002
9.300000e-001	-5.597537e-002	-1.124863e-001	3.204728e+002
9.400000e-001	-5.781378e-002	-1.096553e-001	3.204860e+002
9.500000e-001	-5.960725e-002	-1.070810e-001	3.204864e+002
9.600000e-001	-6.135763e-002	-1.047423e-001	3.204763e+002
9.700000e-001	-6.306698e-002	-1.026194e-001	3.204575e+002
9.800000e-001	-6.473745e-002	-1.006934e-001	3.204317e+002
9.900000e-001	-6.637119e-002	-9.894709e-002	3.204001e+002
1.000000e+000	-6.797031e-002	-9.736427e-002	3.203637e+002
