0.002	0.990839628078267	4
0.002	0.995642055551883	4
0.192307692307692	0.872979828154554	0.873073269230769
0.192307692307692	0.873073269838031	0.873073269230769
0.002	0.998098991272836	4
0.002	1.00108445114791	4
0.002	1.0038607034	4
0.002	1.00963076782557	4
0.0161290322580645	0.172430606119926	0.983870967741935
0.0161290322580645	0.256216928290656	0.983870967741935
0	0.100020065993992	10000
0	0.100020831545061	10000
0.833333333333333	0.98785500613674	1.33333333333333
2.5	2.54736498330201	4.15
-1	-0.00646217064431655	1
-1	-0.00482801002666681	1
2.5	2.63608614294161	4.24
2.5	2.63609079138111	4.24
-100	-2.0346038936683	100
-100	-2.01182766491529	100
-1	-0.00399170896765739	1
-1	-0.00297498130457271	1
-1	-0.00202924125908618	1
-0.5	-6.17623951469339e-05	0.5
-1	0.0887110448610317	1.1
-1	0.0887170152852521	1.1
-10	2.16454454501037	100
-10	2.41404399942079	100
-100000000	-0.709556307722962	100000000
-100000000	-0.744749124491972	100000000
0	18.1	18.1
