Time	Voltage	Current	Temp.

1.000000e-002	-1.606911e-004	-1.098788e-001	2.968204e+002
2.000000e-002	-3.259842e-004	-1.076760e-001	2.971795e+002
3.000000e-002	-4.958222e-004	-1.058016e-001	2.975111e+002
4.000000e-002	-6.697253e-004	-1.039788e-001	2.978164e+002
5.000000e-002	-8.473522e-004	-1.022706e-001	2.980977e+002
6.000000e-002	-1.028309e-003	-1.006398e-001	2.983566e+002
7.000000e-002	-1.212520e-003	-9.920958e-002	2.985964e+002
8.000000e-002	-1.399743e-003	-9.787471e-002	2.988189e+002
9.000000e-002	-1.589490e-003	-9.652583e-002	2.990235e+002
1.000000e-001	-1.781112e-003	-9.511562e-002	2.992090e+002
1.100000e-001	-1.973484e-003	-9.348289e-002	2.993719e+002
1.200000e-001	-2.166162e-003	-9.193055e-002	2.995136e+002
1.300000e-001	-2.361027e-003	-9.130195e-002	2.996487e+002
1.400000e-001	-2.557788e-003	-9.062808e-002	2.997764e+002
1.500000e-001	-2.756144e-003	-8.991770e-002	2.998961e+002
1.600000e-001	-2.956076e-003	-8.927992e-002	3.000089e+002
1.700000e-001	-3.157476e-003	-8.867299e-002	3.001150e+002
1.800000e-001	-3.361684e-003	-8.859615e-002	3.002222e+002
1.900000e-001	-3.564344e-003	-8.699723e-002	3.003088e+002
2.000000e-001	-3.767365e-003	-8.626954e-002	3.003871e+002
2.100000e-001	-3.970654e-003	-8.559414e-002	3.004579e+002
2.200000e-001	-4.174103e-003	-8.495760e-002	3.005217e+002
2.300000e-001	-4.377600e-003	-8.435321e-002	3.005790e+002
2.400000e-001	-4.581055e-003	-8.378219e-002	3.006304e+002
2.500000e-001	-4.784409e-003	-8.325154e-002	3.006763e+002
2.600000e-001	-4.987645e-003	-8.276878e-002	3.007174e+002
2.700000e-001	-5.190772e-003	-8.233698e-002	3.007543e+002
2.800000e-001	-5.393809e-003	-8.195317e-002	3.007875e+002
2.900000e-001	-5.596773e-003	-8.161065e-002	3.008175e+002
3.000000e-001	-5.799672e-003	-8.130251e-002	3.008447e+002
3.100000e-001	-6.002513e-003	-8.102348e-002	3.008693e+002
3.200000e-001	-6.205298e-003	-8.076981e-002	3.008918e+002
3.300000e-001	-6.408028e-003	-8.053843e-002	3.009122e+002
3.400000e-001	-6.610704e-003	-8.032652e-002	3.009308e+002
3.500000e-001	-6.813324e-003	-8.013144e-002	3.009478e+002
3.600000e-001	-7.015883e-003	-7.995092e-002	3.009632e+002
3.700000e-001	-7.218376e-003	-7.978300e-002	3.009772e+002
3.800000e-001	-7.420796e-003	-7.962605e-002	3.009899e+002
3.900000e-001	-7.623135e-003	-7.947890e-002	3.010015e+002
4.000000e-001	-7.825386e-003	-7.934103e-002	3.010119e+002
4.100000e-001	-8.027546e-003	-7.921275e-002	3.010213e+002
4.200000e-001	-8.229617e-003	-7.909492e-002	3.010297e+002
4.300000e-001	-8.431605e-003	-7.898840e-002	3.010372e+002
4.400000e-001	-8.633521e-003	-7.889352e-002	3.010440e+002
4.500000e-001	-8.835378e-003	-7.880995e-002	3.010502e+002
4.600000e-001	-9.037187e-003	-7.873696e-002	3.010557e+002
4.700000e-001	-9.238962e-003	-7.867389e-002	3.010608e+002
4.800000e-001	-9.440717e-003	-7.862071e-002	3.010654e+002
4.900000e-001	-9.642473e-003	-7.857834e-002	3.010696e+002
5.000000e-001	-9.844255e-003	-7.854809e-002	3.010736e+002
5.100000e-001	-1.004609e-002	-7.853059e-002	3.010775e+002
5.200000e-001	-1.024802e-002	-7.852501e-002	3.010812e+002
5.300000e-001	-1.045006e-002	-7.852898e-002	3.010849e+002
5.400000e-001	-1.065223e-002	-7.853915e-002	3.010887e+002
5.500000e-001	-1.085454e-002	-7.855194e-002	3.010925e+002
5.600000e-001	-1.105698e-002	-7.856434e-002	3.010964e+002
5.700000e-001	-1.125957e-002	-7.857437e-002	3.011003e+002
5.800000e-001	-1.146228e-002	-7.858129e-002	3.011042e+002
5.900000e-001	-1.166510e-002	-7.858538e-002	3.011080e+002
6.000000e-001	-1.186804e-002	-7.858760e-002	3.011119e+002
6.100000e-001	-1.207108e-002	-7.858922e-002	3.011156e+002
6.200000e-001	-1.227424e-002	-7.859148e-002	3.011194e+002
6.300000e-001	-1.247750e-002	-7.859543e-002	3.011231e+002
